TiempoKey,Fecha,Mes,Dia,Anio
455,2018-03-31,3,31,2018
456,2018-04-01,4,1,2018
457,2018-04-02,4,2,2018
458,2018-04-03,4,3,2018
459,2018-04-04,4,4,2018
460,2018-04-05,4,5,2018
461,2018-04-06,4,6,2018
462,2018-04-07,4,7,2018
463,2018-04-08,4,8,2018
464,2018-04-09,4,9,2018
465,2018-04-10,4,10,2018
466,2018-04-11,4,11,2018
467,2018-04-12,4,12,2018
468,2018-04-13,4,13,2018
469,2018-04-14,4,14,2018
470,2018-04-15,4,15,2018
471,2018-04-16,4,16,2018
472,2018-04-17,4,17,2018
473,2018-04-18,4,18,2018
474,2018-04-19,4,19,2018
475,2018-04-20,4,20,2018
476,2018-04-21,4,21,2018
477,2018-04-22,4,22,2018
478,2018-04-23,4,23,2018
479,2018-04-24,4,24,2018
480,2018-04-25,4,25,2018
481,2018-04-26,4,26,2018
482,2018-04-27,4,27,2018
483,2018-04-28,4,28,2018
484,2018-04-29,4,29,2018
485,2018-04-30,4,30,2018
486,2018-05-01,5,1,2018
487,2018-05-02,5,2,2018
488,2018-05-03,5,3,2018
489,2018-05-04,5,4,2018
490,2018-05-05,5,5,2018
491,2018-05-06,5,6,2018
492,2018-05-07,5,7,2018
493,2018-05-08,5,8,2018
494,2018-05-09,5,9,2018
495,2018-05-10,5,10,2018
496,2018-05-11,5,11,2018
497,2018-05-12,5,12,2018
498,2018-05-13,5,13,2018
499,2018-05-14,5,14,2018
500,2018-05-15,5,15,2018
501,2018-05-16,5,16,2018
502,2018-05-17,5,17,2018
503,2018-05-18,5,18,2018
504,2018-05-19,5,19,2018
505,2018-05-20,5,20,2018
506,2018-05-21,5,21,2018
507,2018-05-22,5,22,2018
508,2018-05-23,5,23,2018
509,2018-05-24,5,24,2018
510,2018-05-25,5,25,2018
511,2018-05-26,5,26,2018
512,2018-05-27,5,27,2018
513,2018-05-28,5,28,2018
514,2018-05-29,5,29,2018
515,2018-05-30,5,30,2018
516,2018-05-31,5,31,2018
517,2018-06-01,6,1,2018
518,2018-06-02,6,2,2018
519,2018-06-03,6,3,2018
520,2018-06-04,6,4,2018
521,2018-06-05,6,5,2018
522,2018-06-06,6,6,2018
523,2018-06-07,6,7,2018
524,2018-06-08,6,8,2018
525,2018-06-09,6,9,2018
526,2018-06-10,6,10,2018
527,2018-06-11,6,11,2018
528,2018-06-12,6,12,2018
529,2018-06-13,6,13,2018
530,2018-06-14,6,14,2018
531,2018-06-15,6,15,2018
532,2018-06-16,6,16,2018
533,2018-06-17,6,17,2018
534,2018-06-18,6,18,2018
535,2018-06-19,6,19,2018
536,2018-06-20,6,20,2018
537,2018-06-21,6,21,2018
538,2018-06-22,6,22,2018
539,2018-06-23,6,23,2018
540,2018-06-24,6,24,2018
541,2018-06-25,6,25,2018
542,2018-06-26,6,26,2018
543,2018-06-27,6,27,2018
544,2018-06-28,6,28,2018
545,2018-06-29,6,29,2018
546,2018-06-30,6,30,2018
547,2018-07-01,7,1,2018
548,2018-07-02,7,2,2018
549,2018-07-03,7,3,2018
550,2018-07-04,7,4,2018
551,2018-07-05,7,5,2018
552,2018-07-06,7,6,2018
553,2018-07-07,7,7,2018
554,2018-07-08,7,8,2018
555,2018-07-09,7,9,2018
556,2018-07-10,7,10,2018
557,2018-07-11,7,11,2018
558,2018-07-12,7,12,2018
559,2018-07-13,7,13,2018
560,2018-07-14,7,14,2018
561,2018-07-15,7,15,2018
562,2018-07-16,7,16,2018
563,2018-07-17,7,17,2018
564,2018-07-18,7,18,2018
565,2018-07-19,7,19,2018
566,2018-07-20,7,20,2018
567,2018-07-21,7,21,2018
568,2018-07-22,7,22,2018
569,2018-07-23,7,23,2018
570,2018-07-24,7,24,2018
571,2018-07-25,7,25,2018
572,2018-07-26,7,26,2018
573,2018-07-27,7,27,2018
574,2018-07-28,7,28,2018
575,2018-07-29,7,29,2018
576,2018-07-30,7,30,2018
577,2018-07-31,7,31,2018
578,2018-08-01,8,1,2018
579,2018-08-02,8,2,2018
580,2018-08-03,8,3,2018
581,2018-08-04,8,4,2018
582,2018-08-05,8,5,2018
583,2018-08-06,8,6,2018
584,2018-08-07,8,7,2018
585,2018-08-08,8,8,2018
586,2018-08-09,8,9,2018
587,2018-08-10,8,10,2018
588,2018-08-11,8,11,2018
589,2018-08-12,8,12,2018
590,2018-08-13,8,13,2018
591,2018-08-14,8,14,2018
592,2018-08-15,8,15,2018
593,2018-08-16,8,16,2018
594,2018-08-17,8,17,2018
595,2018-08-18,8,18,2018
596,2018-08-19,8,19,2018
597,2018-08-20,8,20,2018
598,2018-08-21,8,21,2018
599,2018-08-22,8,22,2018
600,2018-08-23,8,23,2018
601,2018-08-24,8,24,2018
602,2018-08-25,8,25,2018
603,2018-08-26,8,26,2018
604,2018-08-27,8,27,2018
605,2018-08-28,8,28,2018
606,2018-08-29,8,29,2018
607,2018-08-30,8,30,2018
608,2018-08-31,8,31,2018
609,2018-09-01,9,1,2018
610,2018-09-02,9,2,2018
